id_candidat,id_hypothèse,borne_sup,borne_inf,resultat
4,16,10.6388,9.3612,10
6,16,2.2981,1.7019,2
2,16,5.4641,4.5359,5
1,16,5.4641,4.5359,5
8,16,1.2119,0.7881,1
15,16,1.2119,0.7881,1
15,17,0,0,0
6,17,2.9133,1.0867,2
12,17,27.8248,22.1752,25
9,17,2.9133,1.0867,2
4,17,8.6645,5.3355,7
17,17,0,0,0
2,17,2.9133,1.0867,2
16,17,0,0,0
19,17,0,0,0
3,17,17.3294,12.6706,15
1,17,7.5493,4.4507,6
7,17,19.4505,14.5495,17
10,17,1.6491,0.3509,1
20,17,0,0,0
5,17,13.0412,8.9588,11
11,17,13.0412,8.9588,11
8,17,1.6491,0.3509,1
9,18,2.9187,1.0813,2
15,18,0,0,0
10,18,1.6529,0.3471,1
19,18,0,0,0
1,18,7.5585,4.4415,6
11,18,13.0533,8.9467,11
16,18,0,0,0
14,18,8.6743,5.3257,7
8,18,1.6529,0.3471,1
20,18,0,0,0
3,18,18.4058,13.5942,16
17,18,0,0,0
2,18,2.9187,1.0813,2
6,18,2.9187,1.0813,2
4,18,8.6743,5.3257,7
7,18,20.5211,15.4789,18
12,18,29.9134,24.0866,27
19,19,0,0,0
3,19,17.3294,12.6706,15
8,19,1.6491,0.3509,1
7,19,19.4505,14.5495,17
11,19,13.0412,8.9588,11
16,19,0,0,0
2,19,2.9133,1.0867,2
10,19,1.6491,0.3509,1
17,19,0,0,0
13,19,15.1939,10.8061,13
9,19,2.9133,1.0867,2
4,19,7.5493,4.4507,6
6,19,2.9133,1.0867,2
15,19,0,0,0
1,19,7.5493,4.4507,6
20,19,0,0,0
12,19,26.7861,21.2139,24
12,20,29.9462,24.0538,27
11,20,9.2479,5.7521,7.5
10,20,1.6603,0.3397,1
6,20,2.9291,1.0709,2
15,20,2.3066,0.6934,1.5
1,20,6.4463,3.5537,5
4,20,10.3507,6.6493,8.5
9,20,2.9291,1.0709,2
16,20,0.9681,0.0319,0.5
8,20,1.6603,0.3397,1
3,20,28.9108,23.0892,26
13,20,17.3696,12.6304,15
2,20,4.132,1.868,3
4,21,9.8113,6.1887,8
3,21,30.9977,25.0023,28
2,21,5.3083,2.6917,4
