id_candidat,id_hypothèse,borne_sup,borne_inf,resultat
3,1,45.7884,38.2116,42
12,1,61.7884,54.2116,58
3,2,45.7884,38.2116,42
12,2,61.7884,54.2116,58
12,3,51.5642,44.4358,48
5,3,55.5642,48.4358,52
12,4,51.5642,44.4358,48
5,4,55.5642,48.4358,52
12,5,51.5642,44.4358,48
5,5,55.5642,48.4358,52
12,6,58.6831,51.3169,55
7,6,48.6831,41.3169,45
11,7,40.6878,33.3122,37
12,7,66.6878,59.3122,63
12,8,60.9098,53.0902,57
5,8,46.9098,39.0902,43
12,9,56.5878,49.4122,53
3,9,50.5878,43.4122,47
13,10,52.8496,45.1504,49
12,10,54.8496,47.1504,51
12,11,58.6831,51.3169,55
7,11,48.6831,41.3169,45
11,12,40.6878,33.3122,37
12,12,66.6878,59.3122,63
12,13,60.9098,53.0902,57
5,13,46.9098,39.0902,43
12,14,56.5878,49.4122,53
3,14,50.5878,43.4122,47
13,15,52.8496,45.1504,49
12,15,54.8496,47.1504,51
3,16,46.6613,41.3387,44
12,16,58.6613,53.3387,56
3,17,48.7263,41.2737,45
12,17,58.7263,51.2737,55
12,18,61.5988,52.4012,57
3,18,47.5988,38.4012,43
12,19,51.5818,44.4182,48
13,19,55.5818,48.4182,52
3,20,42.1613,35.8387,39
13,20,64.1613,57.8387,61
12,21,61.5988,52.4012,57
3,21,47.5988,38.4012,43
12,22,51.5818,44.4182,48
13,22,55.5818,48.4182,52
3,23,42.1613,35.8387,39
13,23,64.1613,57.8387,61
12,24,61.5988,52.4012,57
3,24,47.5988,38.4012,43
12,25,51.5818,44.4182,48
13,25,55.5818,48.4182,52
3,26,42.1613,35.8387,39
13,26,64.1613,57.8387,61
3,27,45.7752,38.2248,42
12,27,61.7752,54.2248,58
3,28,50.0842,43.9158,47
12,28,56.0842,49.9158,53
3,29,50.0842,43.9158,47
12,29,56.0842,49.9158,53
3,30,50.0842,43.9158,47
12,30,56.0842,49.9158,53
3,31,47.0716,40.9284,44
12,31,59.0716,52.9284,56
3,32,50.7476,43.2524,47
12,32,56.7476,49.2524,53
3,33,48.158,39.842,44
12,33,60.158,51.842,56
3,34,49.688,42.312,46
12,34,57.688,50.312,54
12,35,64.7197,59.2803,62
11,35,40.7197,35.2803,38
12,36,55.8197,50.1803,53
13,36,49.8197,44.1803,47
12,37,56.6257,51.3743,54
3,37,48.6257,43.3743,46
7,38,45.6273,40.3727,43
12,38,59.6273,54.3727,57
5,39,45.8448,40.1552,43
12,39,59.8448,54.1552,57
12,40,56.9852,49.0148,53
13,40,50.9852,43.0148,47
12,41,66.6886,59.3114,63
7,41,40.6886,33.3114,37
3,42,43.7428,36.2572,40
12,42,63.7428,56.2572,60
5,43,47.975,40.025,44
12,43,59.975,52.025,56
7,44,46.6567,39.3433,43
12,44,60.6567,53.3433,57
11,45,41.7573,34.2427,38
12,45,65.7573,58.2427,62
3,46,49.6015,42.3985,46
12,46,57.6015,50.3985,54
12,47,55.9661,48.0339,52
13,47,51.9661,44.0339,48
5,48,47.975,40.025,44
12,48,59.975,52.025,56
7,49,46.6567,39.3433,43
12,49,60.6567,53.3433,57
11,50,41.7573,34.2427,38
12,50,65.7573,58.2427,62
3,51,49.6015,42.3985,46
12,51,57.6015,50.3985,54
12,52,55.9661,48.0339,52
13,52,51.9661,44.0339,48
3,53,45.6043,37.3957,41.5
12,53,62.6043,54.3957,58.5
12,54,58.5977,51.4023,55
3,54,48.5977,41.4023,45
5,55,53.6581,46.3419,50
12,55,53.6581,46.3419,50
12,56,59.3015,52.6985,56
3,56,47.3015,40.6985,44
13,57,56.5321,49.4679,53
12,57,50.5321,43.4679,47
3,58,45.3159,38.6841,42
5,58,61.3159,54.6841,58
13,59,63.2166,56.7834,60
3,59,43.2166,36.7834,40
3,60,47.747,42.253,45
12,60,57.747,52.253,55
3,61,47.747,42.253,45
12,61,57.747,52.253,55
3,62,49.2277,42.7723,46
12,62,57.2277,50.7723,54
13,63,52.4435,45.5565,49
12,63,54.4435,47.5565,51
13,64,63.131,56.869,60
3,64,43.131,36.869,40
12,65,57.587,52.413,55
3,65,47.587,42.413,45
5,66,45.8483,40.1517,43
12,66,59.8483,54.1517,57
12,67,60.6034,55.3966,58
7,67,44.6034,39.3966,42
13,68,47.8141,42.1859,45
12,68,57.8141,52.1859,55
11,69,39.6866,34.3134,37
12,69,65.6866,60.3134,63
12,70,60.8644,55.1356,58
14,70,44.8644,39.1356,42
12,71,58.6489,51.3511,55
13,71,48.6489,41.3511,45
12,72,61.3735,54.6265,58
3,72,45.3735,38.6265,42
12,73,68.3729,61.6271,65
7,73,38.3729,31.6271,35
4,74,49.3519,44.6481,47
3,74,55.3519,50.6481,53
